Registros com >40h semanais ordenados por workclass:

?               | Bachelors       | 45h/semana
Private         | Some-college    | 45h/semana
Private         | 9th             | 42h/semana
Private         | HS-grad         | 70h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-voc       | 76h/semana
Private         | Preschool       | 75h/semana
Private         | Some-college    | 42h/semana
Private         | Some-college    | 55h/semana
Private         | 10th            | 48h/semana
Private         | Bachelors       | 55h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 55h/semana
Private         | HS-grad         | 72h/semana
Private         | 11th            | 60h/semana
Private         | Assoc-voc       | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 46h/semana
Private         | Bachelors       | 55h/semana
Private         | Bachelors       | 50h/semana
Private         | Doctorate       | 60h/semana
Private         | HS-grad         | 55h/semana
Private         | HS-grad         | 64h/semana
Private         | Some-college    | 48h/semana
Private         | Assoc-voc       | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 45h/semana
Private         | Assoc-voc       | 55h/semana
Private         | Masters         | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 65h/semana
Private         | Some-college    | 60h/semana
Private         | 12th            | 84h/semana
Private         | HS-grad         | 45h/semana
Private         | Assoc-acdm      | 52h/semana
Private         | Masters         | 55h/semana
Private         | Some-college    | 50h/semana
Private         | Doctorate       | 50h/semana
Private         | 9th             | 48h/semana
Private         | Prof-school     | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | Masters         | 50h/semana
Private         | Some-college    | 45h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 80h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 44h/semana
Private         | 11th            | 50h/semana
Private         | Some-college    | 65h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 50h/semana
Private         | Prof-school     | 45h/semana
Private         | Some-college    | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 56h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 55h/semana
Private         | Some-college    | 45h/semana
Private         | Bachelors       | 45h/semana
Private         | Assoc-voc       | 60h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 43h/semana
Private         | Doctorate       | 50h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 60h/semana
Private         | Assoc-voc       | 60h/semana
Private         | 7th-8th         | 50h/semana
Private         | Bachelors       | 48h/semana
Private         | Masters         | 55h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 50h/semana
Private         | Assoc-acdm      | 62h/semana
Private         | Some-college    | 55h/semana
Private         | Doctorate       | 45h/semana
Private         | HS-grad         | 72h/semana
Private         | HS-grad         | 48h/semana
Private         | Some-college    | 45h/semana
Private         | Masters         | 50h/semana
Private         | Some-college    | 50h/semana
Private         | Some-college    | 48h/semana
Private         | HS-grad         | 56h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | HS-grad         | 70h/semana
Private         | Bachelors       | 50h/semana
Private         | Some-college    | 60h/semana
Private         | HS-grad         | 45h/semana
Private         | Masters         | 43h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | HS-grad         | 65h/semana
Private         | Assoc-voc       | 46h/semana
Private         | Some-college    | 45h/semana
Private         | Assoc-acdm      | 44h/semana
Private         | Assoc-voc       | 44h/semana
Private         | 9th             | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | Assoc-acdm      | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | Bachelors       | 55h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 65h/semana
Private         | Assoc-acdm      | 45h/semana
Private         | Assoc-voc       | 44h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Bachelors       | 55h/semana
Private         | Bachelors       | 45h/semana
Private         | Bachelors       | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 42h/semana
Private         | Masters         | 65h/semana
Private         | HS-grad         | 55h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 50h/semana
Private         | Bachelors       | 55h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 52h/semana
Private         | Some-college    | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | Assoc-acdm      | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 45h/semana
Private         | Doctorate       | 60h/semana
Private         | Bachelors       | 50h/semana
Private         | Bachelors       | 50h/semana
Private         | 10th            | 50h/semana
Private         | 9th             | 50h/semana
Private         | Assoc-acdm      | 80h/semana
Private         | HS-grad         | 84h/semana
Private         | Some-college    | 46h/semana
Private         | Assoc-acdm      | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | HS-grad         | 48h/semana
Private         | HS-grad         | 45h/semana
Private         | 12th            | 48h/semana
Private         | HS-grad         | 48h/semana
Private         | 9th             | 50h/semana
Private         | Bachelors       | 48h/semana
Private         | Prof-school     | 80h/semana
Private         | Bachelors       | 45h/semana
Private         | HS-grad         | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | 1st-4th         | 50h/semana
Private         | Assoc-acdm      | 70h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 48h/semana
Private         | HS-grad         | 45h/semana
Private         | Some-college    | 52h/semana
Private         | Masters         | 50h/semana
Private         | Prof-school     | 99h/semana
Private         | Assoc-acdm      | 44h/semana
Private         | Bachelors       | 50h/semana
Private         | Masters         | 65h/semana
Private         | Bachelors       | 65h/semana
Private         | HS-grad         | 70h/semana
Private         | HS-grad         | 50h/semana
Private         | 11th            | 48h/semana
Private         | Masters         | 45h/semana
Private         | Some-college    | 45h/semana
Private         | Prof-school     | 50h/semana
Private         | HS-grad         | 45h/semana
Private         | HS-grad         | 55h/semana
Private         | HS-grad         | 53h/semana
Private         | 12th            | 60h/semana
Private         | HS-grad         | 50h/semana
Private         | Assoc-voc       | 48h/semana
